customer_state,freight_value
AC,40.07
AL,35.84
AM,33.21
AP,34.01
BA,26.36
CE,32.71
DF,21.04
ES,22.06
GO,22.77
MA,38.26
MG,20.63
MS,23.37
MT,28.17
PA,35.83
PB,42.72
PE,32.92
PI,39.15
PR,20.53
RJ,20.96
RN,35.65
RO,41.07
RR,42.98
RS,21.74
SC,21.47
SE,36.65
SP,15.15
TO,37.25
